source,target
Manolo Kabezabolo,Manifa
Manolo Kabezabolo,Agua Bendita
Manolo Kabezabolo,Animales Muertos
Manolo Kabezabolo,Arpaviejas
segismuno toxicomano,Cicatriz
Cicatriz,M.C.D.
Cicatriz,RIP
Cicatriz,Vómito
Cicatriz,Tijuana in blue
Cicatriz,Parabellum
Cicatriz,Distorsión
Cicatriz,Zer Bizio?
Cicatriz,Decibelios
Cicatriz,Subversión X
Cicatriz,Commando 9mm
Cicatriz,Andanada 7
Cicatriz,A Palo Seko
Cicatriz,The Kagas
Cicatriz,Potrotaino
Cicatriz,Matando Gratix
Cicatriz,Manolo Kabezabolo
Cicatriz,Asto Pituak
Cicatriz,The Meas
Cicatriz,Animales Muertos
Cicatriz,Piperrak
segismuno toxicomano,Konsumo Respeto
Konsumo Respeto,Disidencia
Konsumo Respeto,Envidia Kotxina
Konsumo Respeto,Malos Vicios
Konsumo Respeto,Fe de Ratas
Konsumo Respeto,The Kagas
Konsumo Respeto,Los Muertos de Cristo
Konsumo Respeto,Kaos Etíliko
Konsumo Respeto,El Noi del Sucre
Konsumo Respeto,Elektroduendes
Konsumo Respeto,El Último Ke Zierre
Konsumo Respeto,Segismundo Toxicómano
Konsumo Respeto,Asto Pituak
Konsumo Respeto,Discordia
Konsumo Respeto,Zirrosis
Konsumo Respeto,Puagh
Konsumo Respeto,Piperrak
Konsumo Respeto,The Meas
Konsumo Respeto,No Konforme
Konsumo Respeto,Parabellum
Konsumo Respeto,Kaos Urbano
segismuno toxicomano,Arpaviejas
Arpaviejas,Subversión X
Arpaviejas,Asto Pituak
Arpaviejas,Animales Muertos
Arpaviejas,Andanada 7
Arpaviejas,Chicharrica
Arpaviejas,Vómito
Arpaviejas,Ni por favor ni ostias
Arpaviejas,Petra de fenetra
Arpaviejas,Ostia Puta
Arpaviejas,Karne Cruda
Arpaviejas,37 Hostias
Arpaviejas,Matando Gratix
Arpaviejas,Commando 9mm
Arpaviejas,Ignotus
Arpaviejas,RADIOCRIMEN
Arpaviejas,Manifa
Arpaviejas,Potrotaino
Arpaviejas,Efectos Sekundarios ‎
Arpaviejas,Distorsión
Arpaviejas,Rat-Zinger
segismuno toxicomano,Rat-Zinger
Rat-Zinger,The Guilty Brigade
Rat-Zinger,RADIOCRIMEN
Rat-Zinger,Karne Cruda
Rat-Zinger,Yugular
Rat-Zinger,Ignotus
Rat-Zinger,Txulapos Muertos
Rat-Zinger,Porco Bravo
Rat-Zinger,Suzio 13
Rat-Zinger,Sanngre
Rat-Zinger,La Banda del Destierro
Rat-Zinger,Manifa
Rat-Zinger,Andanada 7
Rat-Zinger,37 Hostias
Rat-Zinger,SuZio 13
Rat-Zinger,Ni por favor ni ostias
Rat-Zinger,Matando Gratix
Rat-Zinger,Faber Pugna
Rat-Zinger,Subversión X
Rat-Zinger,Chicharrica
Rat-Zinger,Escuela de Odio
segismuno toxicomano,Kaos Urbano
Kaos Urbano,Oi! Se Arma
Kaos Urbano,Ignotus
Kaos Urbano,Nucleo Terco
Kaos Urbano,Subestimados
Kaos Urbano,Guerrilla Oi!
Kaos Urbano,Boot Boys
Kaos Urbano,Non Servium
Kaos Urbano,Arpaviejas
Kaos Urbano,Curasbun
Kaos Urbano,Against You
Kaos Urbano,Knockout
Kaos Urbano,Decibelios
Kaos Urbano,Karne Cruda
Kaos Urbano,RADIOCRIMEN
Kaos Urbano,Rat-Zinger
Kaos Urbano,Oi! The Arrase
Kaos Urbano,Yugular
Kaos Urbano,Zartako
Kaos Urbano,The Guilty Brigade
segismuno toxicomano,Habeas Corpus
Habeas Corpus,KOP
Habeas Corpus,Escuela de Odio
Habeas Corpus,Riot Propaganda
Habeas Corpus,Koma
Habeas Corpus,Fuckop Family
Habeas Corpus,Strawberry Hardcore
Habeas Corpus,Sugarless
Habeas Corpus,Def Con Dos
Habeas Corpus,Fe de Ratas
Habeas Corpus,Ktulu
Habeas Corpus,Segismundo Toxicómano
Habeas Corpus,A Palo Seko
Habeas Corpus,Hora Zulu
Habeas Corpus,Rat-Zinger
Habeas Corpus,Gérmenes
Habeas Corpus,Kannon
Habeas Corpus,Narco
Habeas Corpus,Hamlet
Habeas Corpus,No Konforme
Habeas Corpus,Disidencia
segismuno toxicomano,M.C.D.
M.C.D.,Vómito
M.C.D.,Cicatriz
M.C.D.,Tijuana in blue
M.C.D.,Zer Bizio?
M.C.D.,RIP
M.C.D.,Distorsión
M.C.D.,Parabellum
M.C.D.,Commando 9mm
M.C.D.,Andanada 7
M.C.D.,Subversión X
M.C.D.,Potrotaino
M.C.D.,37 Hostias
M.C.D.,Código Neurótico
M.C.D.,A Palo Seko
M.C.D.,Matando Gratix
M.C.D.,Decibelios
M.C.D.,The Kagas
M.C.D.,Ni por favor ni ostias
M.C.D.,The Meas
M.C.D.,Asto Pituak
