source,target
The Beatles,The Beach Boys
The Beatles,George Harrison
The Beatles,The Rolling Stones
The Beatles,The Doors
The Beatles,Bob Dylan
The Beatles,Led Zeppelin
The Beatles,Jimi Hendrix
The Beatles,The Who
The Beatles,David Bowie
The Beatles,The Kinks
The Beatles,Pink Floyd
The Beatles,Simon & Garfunkel
The Beatles,Elton John
The Beatles,Eric Clapton
The Beatles,Billy Joel
The Beatles,The Police
The Beatles,The Mamas & The Papas
The Beatles,Elvis Presley
Louis Armstrong,Ella Fitzgerald
Louis Armstrong,Duke Ellington
Louis Armstrong,Billie Holiday
Louis Armstrong,Nat King Cole
Louis Armstrong,Ray Charles
Louis Armstrong,Count Basie
Louis Armstrong,Benny Goodman
Louis Armstrong,Dizzy Gillespie
Louis Armstrong,Sarah Vaughan
Louis Armstrong,Miles Davis
Louis Armstrong,Sammy Davis Jr.
Louis Armstrong,Dinah Washington
Louis Armstrong,Charlie Parker
Louis Armstrong,Glenn Miller
Louis Armstrong,Etta James
Louis Armstrong,John Coltrane
Louis Armstrong,Dean Martin
Louis Armstrong,Frank Sinatra
Louis Armstrong,Peggy Lee
Louis Armstrong,Tony Bennett
John Lennon,George Harrison
John Lennon,Ringo Starr
John Lennon,Paul McCartney
John Lennon,Wings
John Lennon,Bob Dylan
John Lennon,Jim Morrison
John Lennon,The Beach Boys
John Lennon,The Beatles
John Lennon,The Who
John Lennon,The Kinks
John Lennon,The Mamas & The Papas
John Lennon,The Monkees
John Lennon,The Byrds
John Lennon,The Animals
John Lennon,The Doors
John Lennon,Jimi Hendrix
John Lennon,Simon & Garfunkel
John Lennon,The Rolling Stones
John Lennon,Janis Joplin
John Lennon,Cream
George Michael,Wham!
George Michael,Simply Red
George Michael,Seal
George Michael,Lisa Stansfield
George Michael,Culture Club
George Michael,Eurythmics
George Michael,Annie Lennox
George Michael,Spandau Ballet
George Michael,Tina Turner
George Michael,Paul Young
George Michael,Wet Wet Wet
George Michael,Billy Ocean
George Michael,Boy George
George Michael,Duran Duran
George Michael,Lionel Richie
George Michael,Bananarama
George Michael,Rick Astley
George Michael,Level 42
George Michael,Frankie Goes To Hollywood
George Michael,Cyndi Lauper
Tom Jones,Engelbert Humperdinck
Tom Jones,Matt Monro
Tom Jones,Neil Sedaka
Tom Jones,Cliff Richard
Tom Jones,Paul Anka
Tom Jones,Andy Williams
Tom Jones,Petula Clark
Tom Jones,The Platters
Tom Jones,Cliff Richard & The Shadows
Tom Jones,Connie Francis
Tom Jones,Pat Boone
Tom Jones,Roy Orbison
Tom Jones,The Everly Brothers
Tom Jones,Perry Como
Tom Jones,Shirley Bassey
Tom Jones,The Drifters
Tom Jones,The Righteous Brothers
Tom Jones,Johnny Mathis
Tom Jones,Neil Diamond
Tom Jones,Dusty Springfield
Marc Anthony,Víctor Manuelle
Marc Anthony,Gilberto Santa Rosa
Marc Anthony,Luis Enrique
Marc Anthony,Olga Tañón
Marc Anthony,Elvis Crespo
Marc Anthony,Jerry Rivera
Marc Anthony,Juan Luis Guerra 4.40
Marc Anthony,Tito Nieves
Marc Anthony,LA INDIA
Marc Anthony,Oscar D'León
Marc Anthony,Rey Ruiz
Marc Anthony,Carlos Vives
Marc Anthony,Eddie Santiago
Marc Anthony,Rubén Blades
Marc Anthony,Maelo Ruiz
Marc Anthony,Tito Rojas
Marc Anthony,Willie Colón
Marc Anthony,El Gran Combo De Puerto Rico
Marc Anthony,Grupo Niche
Marc Anthony,Frankie Ruiz
Queen,Freddie Mercury
Queen,Aerosmith
Queen,David Bowie
Queen,KISS
Queen,Elton John
Queen,The Beatles
Queen,Guns N' Roses
Queen,AC/DC
Queen,Pink Floyd
Queen,The Rolling Stones
Queen,Led Zeppelin
Queen,The Who
Queen,The Police
Queen,Bon Jovi
Queen,Van Halen
Queen,John Lennon
Queen,Nirvana
Queen,The Doors
Queen,U2
Queen,Electric Light Orchestra
R.E.M.,The Police
R.E.M.,INXS
R.E.M.,Simple Minds
R.E.M.,Duran Duran
R.E.M.,The Cranberries
R.E.M.,U2
R.E.M.,Pretenders
R.E.M.,The Verve
R.E.M.,Lenny Kravitz
R.E.M.,Men At Work
R.E.M.,Billy Idol
R.E.M.,Eurythmics
R.E.M.,Tears For Fears
R.E.M.,The Cure
R.E.M.,Alanis Morissette
R.E.M.,Genesis
R.E.M.,"10,000 Maniacs"
R.E.M.,a-ha
R.E.M.,The B-52's
R.E.M.,Peter Gabriel
Daniel Powter,James Blunt
Daniel Powter,The Calling
Daniel Powter,Vanessa Carlton
Daniel Powter,Howie Day
Daniel Powter,James Morrison
Daniel Powter,Daniel Bedingfield
Daniel Powter,Five For Fighting
Daniel Powter,Plain White T's
Daniel Powter,Natalie Imbruglia
Daniel Powter,Ronan Keating
Daniel Powter,Gavin DeGraw
Daniel Powter,Colbie Caillat
Daniel Powter,Lifehouse
Daniel Powter,A Great Big World
Daniel Powter,Edwin McCain
Daniel Powter,Sixpence None The Richer
Daniel Powter,Snow Patrol
Daniel Powter,Natasha Bedingfield
Daniel Powter,Train
Daniel Powter,Savage Garden
Dua Lipa,Camila Cabello
Dua Lipa,Bebe Rexha
Dua Lipa,Anne-Marie
Dua Lipa,Ava Max
Dua Lipa,Selena Gomez
Dua Lipa,Sia
Dua Lipa,Katy Perry
Dua Lipa,Rita Ora
Dua Lipa,Zara Larsson
Dua Lipa,Miley Cyrus
Dua Lipa,Demi Lovato
Dua Lipa,Halsey
Dua Lipa,Ariana Grande
Dua Lipa,Harry Styles
Dua Lipa,Shawn Mendes
Dua Lipa,Little Mix
Dua Lipa,Ellie Goulding
Dua Lipa,Fifth Harmony
Dua Lipa,Doja Cat
Dua Lipa,Clean Bandit
Dido,Natalie Imbruglia
Dido,Alanis Morissette
