Any;Valor;Sector;;;;
abr-07;79,91;Aliments i begudes no alcohòliques;;;;
mar-07;79,456;Aliments i begudes no alcohòliques;;;;
feb-07;79,146;Aliments i begudes no alcohòliques;;;;
ene-07;79,275;Aliments i begudes no alcohòliques;;;;
dic-06;79,148;Aliments i begudes no alcohòliques;;;;
nov-06;78,73;Aliments i begudes no alcohòliques;;;;
oct-06;78,596;Aliments i begudes no alcohòliques;;;;
sep-06;78,642;Aliments i begudes no alcohòliques;;;;
ago-06;78,423;Aliments i begudes no alcohòliques;;;;
jul-06;78,298;Aliments i begudes no alcohòliques;;;;
jun-06;77,98;Aliments i begudes no alcohòliques;;;;
may-06;77,565;Aliments i begudes no alcohòliques;;;;
abr-06;77,398;Aliments i begudes no alcohòliques;;;;
mar-06;77,25;Aliments i begudes no alcohòliques;;;;
feb-06;77,218;Aliments i begudes no alcohòliques;;;;
ene-06;77,434;Aliments i begudes no alcohòliques;;;;
dic-05;76,712;Aliments i begudes no alcohòliques;;;;
nov-05;75,749;Aliments i begudes no alcohòliques;;;;
oct-05;75,295;Aliments i begudes no alcohòliques;;;;
sep-05;75,159;Aliments i begudes no alcohòliques;;;;
ago-05;74,999;Aliments i begudes no alcohòliques;;;;
jul-05;74,724;Aliments i begudes no alcohòliques;;;;
jun-05;74,883;Aliments i begudes no alcohòliques;;;;
may-05;74,877;Aliments i begudes no alcohòliques;;;;
abr-05;74,801;Aliments i begudes no alcohòliques;;;;
mar-05;74,316;Aliments i begudes no alcohòliques;;;;
feb-05;74,013;Aliments i begudes no alcohòliques;;;;
ene-05;74,154;Aliments i begudes no alcohòliques;;;;
dic-04;73,643;Aliments i begudes no alcohòliques;;;;
nov-04;73,441;Aliments i begudes no alcohòliques;;;;
oct-04;73,166;Aliments i begudes no alcohòliques;;;;
sep-04;73,144;Aliments i begudes no alcohòliques;;;;
ago-04;73,122;Aliments i begudes no alcohòliques;;;;
jul-04;72,912;Aliments i begudes no alcohòliques;;;;
jun-04;72,592;Aliments i begudes no alcohòliques;;;;
may-04;72,582;Aliments i begudes no alcohòliques;;;;
abr-04;72,258;Aliments i begudes no alcohòliques;;;;
mar-04;71,906;Aliments i begudes no alcohòliques;;;;
feb-04;71,545;Aliments i begudes no alcohòliques;;;;
ene-04;71,827;Aliments i begudes no alcohòliques;;;;
dic-03;71,467;Aliments i begudes no alcohòliques;;;;
nov-03;71,162;Aliments i begudes no alcohòliques;;;;
oct-03;71,06;Aliments i begudes no alcohòliques;;;;
sep-03;71,018;Aliments i begudes no alcohòliques;;;;
ago-03;70,404;Aliments i begudes no alcohòliques;;;;
jul-03;69,801;Aliments i begudes no alcohòliques;;;;
jun-03;69,412;Aliments i begudes no alcohòliques;;;;
may-03;69,292;Aliments i begudes no alcohòliques;;;;
abr-03;69,1;Aliments i begudes no alcohòliques;;;;
mar-03;69,071;Aliments i begudes no alcohòliques;;;;
feb-03;68,826;Aliments i begudes no alcohòliques;;;;
ene-03;69,057;Aliments i begudes no alcohòliques;;;;
dic-02;68,682;Aliments i begudes no alcohòliques;;;;
nov-02;68,252;Aliments i begudes no alcohòliques;;;;
oct-02;68,153;Aliments i begudes no alcohòliques;;;;
sep-02;68,028;Aliments i begudes no alcohòliques;;;;
ago-02;67,672;Aliments i begudes no alcohòliques;;;;
jul-02;67,354;Aliments i begudes no alcohòliques;;;;
jun-02;67,075;Aliments i begudes no alcohòliques;;;;
may-02;66,902;Aliments i begudes no alcohòliques;;;;
abr-02;66,614;Aliments i begudes no alcohòliques;;;;
mar-02;66,185;Aliments i begudes no alcohòliques;;;;
feb-02;65,836;Aliments i begudes no alcohòliques;;;;
ene-02;65,9;Aliments i begudes no alcohòliques;;;;
abr-24;116,374;Begudes alcohòliques i tabac;;;;
mar-24;116,088;Begudes alcohòliques i tabac;;;;
feb-24;116,028;Begudes alcohòliques i tabac;;;;
ene-24;114,299;Begudes alcohòliques i tabac;;;;
dic-23;111,679;Begudes alcohòliques i tabac;;;;
nov-23;112,505;Begudes alcohòliques i tabac;;;;
oct-23;112,555;Begudes alcohòliques i tabac;;;;
sep-23;112,487;Begudes alcohòliques i tabac;;;;
ago-23;112,135;Begudes alcohòliques i tabac;;;;
jul-23;112,073;Begudes alcohòliques i tabac;;;;
jun-23;111,976;Begudes alcohòliques i tabac;;;;
may-23;111,894;Begudes alcohòliques i tabac;;;;
abr-23;111,839;Begudes alcohòliques i tabac;;;;
mar-23;111,575;Begudes alcohòliques i tabac;;;;
feb-23;110,847;Begudes alcohòliques i tabac;;;;
ene-23;109,653;Begudes alcohòliques i tabac;;;;
dic-22;108,019;Begudes alcohòliques i tabac;;;;
nov-22;105,017;Begudes alcohòliques i tabac;;;;
oct-22;104,582;Begudes alcohòliques i tabac;;;;
sep-22;104,399;Begudes alcohòliques i tabac;;;;
ago-22;104,243;Begudes alcohòliques i tabac;;;;
jul-22;103,967;Begudes alcohòliques i tabac;;;;
jun-22;103,589;Begudes alcohòliques i tabac;;;;
may-22;103,146;Begudes alcohòliques i tabac;;;;
abr-22;103,127;Begudes alcohòliques i tabac;;;;
mar-22;102,787;Begudes alcohòliques i tabac;;;;
feb-22;102,227;Begudes alcohòliques i tabac;;;;
ene-22;101,308;Begudes alcohòliques i tabac;;;;
dic-21;100,795;Begudes alcohòliques i tabac;;;;
nov-21;100,874;Begudes alcohòliques i tabac;;;;
oct-21;100,82;Begudes alcohòliques i tabac;;;;
sep-21;100,07;Begudes alcohòliques i tabac;;;;
ago-21;99,553;Begudes alcohòliques i tabac;;;;
jul-21;99,485;Begudes alcohòliques i tabac;;;;
jun-21;99,55;Begudes alcohòliques i tabac;;;;
may-21;99,742;Begudes alcohòliques i tabac;;;;
abr-21;99,762;Begudes alcohòliques i tabac;;;;
mar-21;99,758;Begudes alcohòliques i tabac;;;;
feb-21;99,897;Begudes alcohòliques i tabac;;;;
ene-21;99,694;Begudes alcohòliques i tabac;;;;
dic-20;99,194;Begudes alcohòliques i tabac;;;;
nov-20;99,711;Begudes alcohòliques i tabac;;;;
oct-20;99,705;Begudes alcohòliques i tabac;;;;
sep-20;99,763;Begudes alcohòliques i tabac;;;;
ago-20;99,726;Begudes alcohòliques i tabac;;;;
jul-20;99,721;Begudes alcohòliques i tabac;;;;
jun-20;99,859;Begudes alcohòliques i tabac;;;;
may-20;100,034;Begudes alcohòliques i tabac;;;;
abr-20;99,91;Begudes alcohòliques i tabac;;;;
mar-20;99,752;Begudes alcohòliques i tabac;;;;
feb-20;99,715;Begudes alcohòliques i tabac;;;;
ene-20;99,305;Begudes alcohòliques i tabac;;;;
dic-19;98,885;Begudes alcohòliques i tabac;;;;
nov-19;99,21;Begudes alcohòliques i tabac;;;;
oct-19;99,253;Begudes alcohòliques i tabac;;;;
sep-19;99,217;Begudes alcohòliques i tabac;;;;
ago-19;99,229;Begudes alcohòliques i tabac;;;;
jul-19;99,199;Begudes alcohòliques i tabac;;;;
jun-19;99,211;Begudes alcohòliques i tabac;;;;
may-19;99,314;Begudes alcohòliques i tabac;;;;
abr-19;99,217;Begudes alcohòliques i tabac;;;;
mar-19;99,259;Begudes alcohòliques i tabac;;;;
feb-19;99,146;Begudes alcohòliques i tabac;;;;
ene-19;98,83;Begudes alcohòliques i tabac;;;;
dic-18;98,453;Begudes alcohòliques i tabac;;;;
nov-18;98,812;Begudes alcohòliques i tabac;;;;
oct-18;98,834;Begudes alcohòliques i tabac;;;;
sep-18;98,757;Begudes alcohòliques i tabac;;;;
ago-18;98,682;Begudes alcohòliques i tabac;;;;
jul-18;98,736;Begudes alcohòliques i tabac;;;;
jun-18;98,791;Begudes alcohòliques i tabac;;;;
may-18;98,717;Begudes alcohòliques i tabac;;;;
abr-18;98,486;Begudes alcohòliques i tabac;;;;
mar-18;98,264;Begudes alcohòliques i tabac;;;;
feb-18;97,965;Begudes alcohòliques i tabac;;;;
ene-18;97,549;Begudes alcohòliques i tabac;;;;
dic-17;97,126;Begudes alcohòliques i tabac;;;;
nov-17;96,919;Begudes alcohòliques i tabac;;;;
oct-17;96,806;Begudes alcohòliques i tabac;;;;
sep-17;96,721;Begudes alcohòliques i tabac;;;;
ago-17;96,682;Begudes alcohòliques i tabac;;;;
jul-17;96,693;Begudes alcohòliques i tabac;;;;
jun-17;96,682;Begudes alcohòliques i tabac;;;;
may-17;96,66;Begudes alcohòliques i tabac;;;;
abr-17;96,563;Begudes alcohòliques i tabac;;;;
mar-17;96,634;Begudes alcohòliques i tabac;;;;
feb-17;96,622;Begudes alcohòliques i tabac;;;;
ene-17;96,334;Begudes alcohòliques i tabac;;;;
dic-16;95,507;Begudes alcohòliques i tabac;;;;
nov-16;95,14;Begudes alcohòliques i tabac;;;;
oct-16;95,105;Begudes alcohòliques i tabac;;;;
sep-16;95,072;Begudes alcohòliques i tabac;;;;
ago-16;95,067;Begudes alcohòliques i tabac;;;;
jul-16;95,106;Begudes alcohòliques i tabac;;;;
jun-16;95,137;Begudes alcohòliques i tabac;;;;
may-16;95,187;Begudes alcohòliques i tabac;;;;
abr-16;95,057;Begudes alcohòliques i tabac;;;;
mar-16;95,033;Begudes alcohòliques i tabac;;;;
feb-16;94,951;Begudes alcohòliques i tabac;;;;
ene-16;94,718;Begudes alcohòliques i tabac;;;;
dic-15;94,698;Begudes alcohòliques i tabac;;;;
nov-15;94,775;Begudes alcohòliques i tabac;;;;
oct-15;94,788;Begudes alcohòliques i tabac;;;;
sep-15;94,769;Begudes alcohòliques i tabac;;;;
ago-15;94,719;Begudes alcohòliques i tabac;;;;
jul-15;94,711;Begudes alcohòliques i tabac;;;;
jun-15;94,655;Begudes alcohòliques i tabac;;;;
may-15;94,65;Begudes alcohòliques i tabac;;;;
abr-15;94,615;Begudes alcohòliques i tabac;;;;
mar-15;94,648;Begudes alcohòliques i tabac;;;;
feb-15;94,548;Begudes alcohòliques i tabac;;;;
ene-15;93,91;Begudes alcohòliques i tabac;;;;
dic-14;93,463;Begudes alcohòliques i tabac;;;;
nov-14;93,63;Begudes alcohòliques i tabac;;;;
oct-14;93,61;Begudes alcohòliques i tabac;;;;
sep-14;93,559;Begudes alcohòliques i tabac;;;;
ago-14;93,551;Begudes alcohòliques i tabac;;;;
jul-14;93,461;Begudes alcohòliques i tabac;;;;
jun-14;93,035;Begudes alcohòliques i tabac;;;;
may-14;93,125;Begudes alcohòliques i tabac;;;;
abr-14;93,2;Begudes alcohòliques i tabac;;;;
mar-14;93,309;Begudes alcohòliques i tabac;;;;
feb-14;93,232;Begudes alcohòliques i tabac;;;;
ene-14;93,098;Begudes alcohòliques i tabac;;;;
dic-13;93,102;Begudes alcohòliques i tabac;;;;
nov-13;93,226;Begudes alcohòliques i tabac;;;;
oct-13;93,273;Begudes alcohòliques i tabac;;;;
sep-13;93,182;Begudes alcohòliques i tabac;;;;
ago-13;93,139;Begudes alcohòliques i tabac;;;;
jul-13;92,866;Begudes alcohòliques i tabac;;;;
jun-13;91,156;Begudes alcohòliques i tabac;;;;
may-13;91,135;Begudes alcohòliques i tabac;;;;
abr-13;90,961;Begudes alcohòliques i tabac;;;;
mar-13;90,918;Begudes alcohòliques i tabac;;;;
feb-13;90,858;Begudes alcohòliques i tabac;;;;
ene-13;90,497;Begudes alcohòliques i tabac;;;;
dic-12;88,146;Begudes alcohòliques i tabac;;;;
nov-12;87,951;Begudes alcohòliques i tabac;;;;
oct-12;88,099;Begudes alcohòliques i tabac;;;;
sep-12;88,089;Begudes alcohòliques i tabac;;;;
ago-12;87,812;Begudes alcohòliques i tabac;;;;
jul-12;87,63;Begudes alcohòliques i tabac;;;;
jun-12;87,42;Begudes alcohòliques i tabac;;;;
may-12;87,408;Begudes alcohòliques i tabac;;;;
abr-12;86,488;Begudes alcohòliques i tabac;;;;
mar-12;84,084;Begudes alcohòliques i tabac;;;;
feb-12;84,042;Begudes alcohòliques i tabac;;;;
ene-12;83,779;Begudes alcohòliques i tabac;;;;
dic-11;83,641;Begudes alcohòliques i tabac;;;;
nov-11;83,641;Begudes alcohòliques i tabac;;;;
oct-11;83,513;Begudes alcohòliques i tabac;;;;
sep-11;82,701;Begudes alcohòliques i tabac;;;;
ago-11;79,899;Begudes alcohòliques i tabac;;;;
jul-11;79,996;Begudes alcohòliques i tabac;;;;
jun-11;78,404;Begudes alcohòliques i tabac;;;;
may-11;82,285;Begudes alcohòliques i tabac;;;;
abr-11;82,274;Begudes alcohòliques i tabac;;;;
mar-11;82,324;Begudes alcohòliques i tabac;;;;
feb-11;82,196;Begudes alcohòliques i tabac;;;;
ene-11;82,013;Begudes alcohòliques i tabac;;;;
dic-10;80,299;Begudes alcohòliques i tabac;;;;
nov-10;75,717;Begudes alcohòliques i tabac;;;;
oct-10;75,677;Begudes alcohòliques i tabac;;;;
sep-10;75,699;Begudes alcohòliques i tabac;;;;
ago-10;75,691;Begudes alcohòliques i tabac;;;;
jul-10;75,724;Begudes alcohòliques i tabac;;;;
